31,"C333,C312,C335,C329,C319,C253,C259,C326,C203,C202,C408,C323,C338,C330,C416,C413,C320,C243,C506,C503,C236,C414,C314,C307,C317,C310,C264,C233,C218,C208,C201,C239,C302,C412,C406,C417,C402,C255,C235,C210,C212","SMD-0805",41,"100n","50V X7R 10%",,
32,"C311,C315,C337,C331,C262,C256,C407,C409,C339,C410,C313,C207,C505,C502,C316,C305,C309,C334,C301,C322,C411,C405,C404,C252,C234,C209,C211,C267","SMD-0805",28,"22u","25V X5R 20%",,
33,"R302,R408,R409,R242,R402,R240,R238","SMD-0805",7,"10k","100mW",,
34,"R308,R307,R214,R213,R212,R211,R230,R229,R560,R556,R552,R520,R519,R518,R517,R524,R523,R522,R521,R528,R527,R526,R525,R532,R531,R530,R529,R541,R306,R223,R216,R228,R227,R564","SMD-0805",34,"0R","100mW",,
35,"R311,R534,R407,R533,R404,R401,R303,R246,R237,R224,R215,R202","SMD-0805",12,"47R","100mW",,
36,"R310,R244,R236","SMD-0805",3,"1R","100mW",,
37,"C327,C504,C231,C214,C205,C501,C401,C304,C265,C250","SMD-0805",10,"100p","50V NP0 5%",,
38,"C321,C204,C328,C325,C332,C266","SMD-0805",6,"10u","25V X7R 10%",,
39,"L502,L501,L401,L301,L202,L201,L203","SMD-0805",7,"600R@100MHz","'=>1A eg Wruth 742792040, TDK MPZ2012S601A",,
40,"R411,R226,R231,R241","SMD-0805",4,"100R","100mW",,
41,"R239,R578,R577,R576,R574,R573,R572,R570,R569,R568,R509,R510,R511,R512,R505,R506,R507,R508,R501,R502,R503,R504,R208,R207,R206,R205,R210,R209,R245,R243,R220,R204,R203,R579,R571,R575,R580,R581,R582,R583,R513,R514,R515,R516","SMD-0805",44,"N/F","NOT FITTED",,
42,"C261,C254","SMD-0805",2,"33p","50V NP0 5%",,
43,"R221","SMD-0805",1,"3k","100mW",,
44,"R543,R542,R225,R201","SMD-0805",4,"1k","100mW",,
45,"R540,R539,R538,R537,R536,R535","SMD-0805",6,"4k7","100mW",,
46,"R309","SMD-0805",1,"470R","100mW",,
47,"R305","SMD-0805",1,"15k","100mW",,
48,"R304","SMD-0805",1,"24k","100mW",,
49,"R301","SMD-0805",1,"16k","100mW",,
50,"R232","SMD-0805",1,"100k","100mW",,
51,"R222","SMD-0805",1,"3k6","100mW",,
52,"R218","SMD-0805",1,"3k3","100mW",,
53,"R217","SMD-0805",1,"12k","100mW",,
54,"C415,C308,C220,C263","SMD-0805",4,"10n","50V X7R 10%",,
55,"C216","SMD-0805",1,"1u","25V X7R 10%",,
56,"TP206","TP-2mm",1,"PIN","Through hole test point (2mm)",,
57,"R410","SMD-0805",1,"360R","100mW",,
58,"R412","SMD-0805",1,"91R","100mW",,
59,"U404","IC_SOIC_14",1,"IC-LOGIC-74HC04","Any SOIC-14 74HC04 - eg NXP 74HC04D or Fairchild MM74HC04M",,
60,"R234,R235","SMD-0805",2,"68R","100mW",,
61,"U203","IC-SC70-6",1,"IC-LOGIC-BUF-NC7WZ17P6X","Dual Schmitt-Trigger Buffer eg Fairchild NC7WZ17P6X or Texas Instruments SN74LVC2G17DCKR",,
62,"U401","IC-SC70-6",1,"IC-LOGIC-BUF-NC7WZ16P6X","Dual Buffer eg Fairchild NC7WZ16P6X or Texas Instruments SN74LVC2G34DCKR",,
63,"C403,C251,C303,C318,C306,C206,C232,C324,C336","CAP-TH-D6.3mmP2.5mm",9,"220u","'=>16V eg Panasonic EEU-FR1C221",,
64,"D303,D305,D306,D307","DIODE-SOD-123",4,"SBR1A40S1","Diodes Inc. SBR1A40S1",,
65,"U402","IC_SPDIF_OPTO",1,"IC-SPDIF-RX-OPTO","Toslink Reciever - eg CLIFF FC684205R",,
66,"U403","IC_SPDIF_OPTO",1,"IC-SPDIF-TX-OPTO","Toslink Transmitter - eg CLIFF FC684205T",,
